var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14
10959,org.apache.commons.pool2.impl.LinkedBlockingDeque.size()I,LinkedBlockingDeque.size(),,,,,2640,third_party,59,org.apache.commons.pool2.impl.LinkedBlockingDeque,1,989,LinkedBlockingDeque.java
10960,io.atlassian.fugue.Option.<init>()V,Option.<init>(),,,,,1427,third_party,194,io.atlassian.fugue.Option,1,155,Option.java
10961,io.atlassian.fugue.Option$Some.<init>(Ljava/lang/Object;)V,Option$Some.<init>(),,,,,2906,third_party,193,io.atlassian.fugue.Option$Some,1,439,Option.java
10962,io.atlassian.fugue.Option$Some.<init>(Ljava/lang/Object;Lio/atlassian/fugue/Option$1;)V,Option$Some.<init>(),,,,,2906,third_party,192,io.atlassian.fugue.Option$Some,1,434,Option.java
10963,io.atlassian.fugue.Option.some(Ljava/lang/Object;)Lio/atlassian/fugue/Option;,Option.some(),,,,,1427,third_party,191,io.atlassian.fugue.Option,1,87,Option.java
10964,org.springframework.util.ObjectUtils.isEmpty([Ljava/lang/Object;)Z,ObjectUtils.isEmpty(),,,,,2907,third_party,0,org.springframework.util.ObjectUtils,2,108,ObjectUtils.java
10965,org.springframework.aop.framework.AopProxyUtils.adaptArgumentsIfNecessary(Ljava/lang/reflect/Method;[Ljava/lang/Object;)[Ljava/lang/Object;,AopProxyUtils.adaptArgumentsIfNecessary(),,,,,2908,third_party,0,org.springframework.aop.framework.AopProxyUtils,2,224,AopProxyUtils.java
10966,com.querydsl.sql.SQLListeners.start(Lcom/querydsl/sql/SQLListenerContext;)V,SQLListeners.start(),,,,,2909,third_party,212,com.querydsl.sql.SQLListeners,1,161,SQLListeners.java
10967,com.querydsl.sql.SQLListenerAdapter.start(Lcom/querydsl/sql/SQLListenerContext;)V,SQLListenerAdapter.start(),,,,,2910,third_party,213,com.querydsl.sql.SQLListenerAdapter,1,46,SQLListenerAdapter.java
10968,com.querydsl.sql.AbstractSQLQuery.startContext(Ljava/sql/Connection;Lcom/querydsl/core/QueryMetadata;)Lcom/querydsl/sql/SQLListenerContextImpl;,AbstractSQLQuery.startContext(),,,,,2774,third_party,211,com.querydsl.sql.AbstractSQLQuery,1,221,AbstractSQLQuery.java
10974,com.atlassian.jira.cache.monitor.CacheStatisticsMonitor.getCacheStatistics()Ljava/util/List;,CacheStatisticsMonitor.getCacheStatistics(),,,,,2911,other,11,com.atlassian.jira.cache.monitor.CacheStatisticsMonitor,1,120,CacheStatisticsMonitor.java
10975,com.atlassian.jira.cache.monitor.CacheStatisticsMonitor.runJob(Lcom/atlassian/scheduler/JobRunnerRequest;)Lcom/atlassian/scheduler/JobRunnerResponse;,CacheStatisticsMonitor.runJob(),,,,,2911,other,10,com.atlassian.jira.cache.monitor.CacheStatisticsMonitor,1,80,CacheStatisticsMonitor.java
10979,com.sun.proxy.$Proxy867.getBaseUrl(Lcom/atlassian/plugin/webresource/UrlMode;)Ljava/lang/String;,$Proxy867.getBaseUrl(),,,,,2015,third_party,187,com.sun.proxy.$Proxy867,1,-2,
10980,com.atlassian.webresource.plugin.data.ContextPathProvider.get()Lcom/atlassian/json/marshal/Jsonable;,ContextPathProvider.get(),,,,,2912,other,186,com.atlassian.webresource.plugin.data.ContextPathProvider,1,23,ContextPathProvider.java
10981,com.atlassian.webresource.plugin.data.ContextPathProvider.get()Ljava/lang/Object;,ContextPathProvider.get(),,,,,2912,other,185,com.atlassian.webresource.plugin.data.ContextPathProvider,1,14,ContextPathProvider.java
10982,java.nio.charset.CharsetEncoder.implOnMalformedInput(Ljava/nio/charset/CodingErrorAction;)V,CharsetEncoder.implOnMalformedInput(),,,,,308,third_party,0,java.nio.charset.CharsetEncoder,2,-2,
10983,java.nio.charset.CharsetEncoder.onMalformedInput(Ljava/nio/charset/CodingErrorAction;)Ljava/nio/charset/CharsetEncoder;,CharsetEncoder.onMalformedInput(),,,,,308,third_party,0,java.nio.charset.CharsetEncoder,2,-2,
10984,org.ofbiz.core.entity.SequenceUtil.closeQuietly(Ljava/sql/Connection;)V,SequenceUtil.closeQuietly(),,,,,2897,third_party,21,org.ofbiz.core.entity.SequenceUtil,1,346,SequenceUtil.java
10989,org.apache.catalina.webresources.AbstractFileResourceSet.isReadOnly()Z,AbstractFileResourceSet.isReadOnly(),,,,,255,third_party,7,org.apache.catalina.webresources.AbstractFileResourceSet,1,52,AbstractFileResourceSet.java
10997,com.google.common.collect.ImmutableMap.<init>()V,ImmutableMap.<init>(),,,,,1180,third_party,181,com.google.common.collect.ImmutableMap,1,517,ImmutableMap.java
10998,com.google.common.collect.ImmutableBiMapFauxverideShim.<init>()V,ImmutableBiMapFauxverideShim.<init>(),,,,,2913,third_party,181,com.google.common.collect.ImmutableBiMapFauxverideShim,1,32,ImmutableBiMapFauxverideShim.java
10999,com.google.common.collect.ImmutableBiMap.<init>()V,ImmutableBiMap.<init>(),,,,,2784,third_party,181,com.google.common.collect.ImmutableBiMap,1,372,ImmutableBiMap.java
11001,com.atlassian.plugin.webresource.impl.snapshot.WebResource.getTransformers()Lcom/atlassian/plugin/webresource/impl/CachedTransformers;,WebResource.getTransformers(),,,,,1745,infra,184,com.atlassian.plugin.webresource.impl.snapshot.WebResource,1,65,WebResource.java
11011,com.atlassian.jira.issue.fields.screen.FieldScreenSchemeImpl.<init>(Lcom/atlassian/jira/issue/fields/screen/FieldScreenSchemeManager;Lorg/ofbiz/core/entity/GenericValue;)V,FieldScreenSchemeImpl.<init>(),,,,,2914,other,17,com.atlassian.jira.issue.fields.screen.FieldScreenSchemeImpl,1,33,FieldScreenSchemeImpl.java
11012,com.atlassian.plugin.elements.ResourceLocation.getType()Ljava/lang/String;,ResourceLocation.getType(),,,,,2529,other,193,com.atlassian.plugin.elements.ResourceLocation,1,43,ResourceLocation.java
11013,java.util.concurrent.atomic.AtomicInteger.set(I)V,AtomicInteger.set(),,,,,529,third_party,204,java.util.concurrent.atomic.AtomicInteger,1,-2,
11014,com.atlassian.jira.i18n.ResourceBundleCacheCleaner.isPluginClassLoader(Ljava/lang/ClassLoader;)Z,ResourceBundleCacheCleaner.isPluginClassLoader(),,,,,81,infra,17,com.atlassian.jira.i18n.ResourceBundleCacheCleaner,1,40,ResourceBundleCacheCleaner.java
11015,com.atlassian.plugin.webresource.WebResourceTransformation.matches(Ljava/lang/String;)Z,WebResourceTransformation.matches(),,,,,1938,infra,185,com.atlassian.plugin.webresource.WebResourceTransformation,1,100,WebResourceTransformation.java
11016,sun.net.www.protocol.file.FileURLConnection.initializeHeaders()V,FileURLConnection.initializeHeaders(),,,,,1625,third_party,195,sun.net.www.protocol.file.FileURLConnection,1,-2,
11017,sun.net.www.protocol.file.FileURLConnection.getLastModified()J,FileURLConnection.getLastModified(),,,,,1625,third_party,194,sun.net.www.protocol.file.FileURLConnection,1,-2,
11018,java.lang.Integer.stringSize(I)I,Integer.stringSize(),,,,,327,third_party,30,java.lang.Integer,1,-2,
11019,java.lang.StringBuffer.append(I)Ljava/lang/StringBuffer;,StringBuffer.append(),,,,,309,third_party,28,java.lang.StringBuffer,1,-2,
11020,org.apache.log4j.helpers.ISO8601DateFormat.format(Ljava/util/Date;Ljava/lang/StringBuffer;Ljava/text/FieldPosition;)Ljava/lang/StringBuffer;,ISO8601DateFormat.format(),,,,,2915,third_party,27,org.apache.log4j.helpers.ISO8601DateFormat,1,67,ISO8601DateFormat.java
11021,org.apache.log4j.helpers.PatternParser$DatePatternConverter.convert(Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;,PatternParser$DatePatternConverter.convert(),,,,,2916,third_party,25,org.apache.log4j.helpers.PatternParser$DatePatternConverter,1,440,PatternParser.java
11022,org.apache.log4j.helpers.PatternConverter.format(Ljava/lang/StringBuffer;Lorg/apache/log4j/spi/LoggingEvent;)V,PatternConverter.format(),,,,,2917,third_party,24,org.apache.log4j.helpers.PatternConverter,1,65,PatternConverter.java
11023,org.apache.log4j.PatternLayout.format(Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;,PatternLayout.format(),,,,,2918,third_party,23,org.apache.log4j.PatternLayout,1,497,PatternLayout.java
11024,com.atlassian.beehive.simple.SingleNodeLock.lock()V,SingleNodeLock.lock(),,,,,2440,other,14,com.atlassian.beehive.simple.SingleNodeLock,1,67,SingleNodeLock.java
11032,com.atlassian.plugin.webresource.url.DefaultUrlBuilder.addToQueryString(Ljava/lang/String;Ljava/lang/String;)V,DefaultUrlBuilder.addToQueryString(),,,,,1716,infra,189,com.atlassian.plugin.webresource.url.DefaultUrlBuilder,1,36,DefaultUrlBuilder.java
11033,java.beans.BeanDescriptor.<init>(Ljava/lang/Class;Ljava/lang/Class;)V,BeanDescriptor.<init>(),,,,,2919,third_party,31,java.beans.BeanDescriptor,1,-2,
11049,org.apache.commons.lang3.BooleanUtils.toBoolean(Ljava/lang/String;)Z,BooleanUtils.toBoolean(),,,,,2920,third_party,177,org.apache.commons.lang3.BooleanUtils,1,709,BooleanUtils.java
11054,com.atlassian.plugin.webresource.impl.helpers.UrlGenerationHelpers$ParamsComparator.isAdditionalSortingRequired()Z,UrlGenerationHelpers$ParamsComparator.isAdditionalSortingRequired(),,,,,2921,other,188,com.atlassian.plugin.webresource.impl.helpers.UrlGenerationHelpers$ParamsComparator,1,779,UrlGenerationHelpers.java
11057,java.lang.invoke.InnerClassLambdaMetafactory$1.run()[Ljava/lang/reflect/Constructor;,InnerClassLambdaMetafactory$1.run(),,,,,2922,third_party,26,java.lang.invoke.InnerClassLambdaMetafactory$1,1,-2,
11058,java.lang.invoke.InnerClassLambdaMetafactory$1.run()Ljava/lang/Object;,InnerClassLambdaMetafactory$1.run(),,,,,2922,third_party,25,java.lang.invoke.InnerClassLambdaMetafactory$1,1,-2,
11061,com.atlassian.plugin.elements.ResourceLocation.getName()Ljava/lang/String;,ResourceLocation.getName(),,,,,2529,other,181,com.atlassian.plugin.elements.ResourceLocation,1,39,ResourceLocation.java
11062,org.apache.commons.lang3.BooleanUtils.toBooleanObject(Ljava/lang/String;)Ljava/lang/Boolean;,BooleanUtils.toBooleanObject(),,,,,2920,third_party,177,org.apache.commons.lang3.BooleanUtils,1,553,BooleanUtils.java
11063,com.atlassian.plugin.webresource.impl.RequestCache$ResourceKeysSupplier.<init>(Ljava/util/List;)V,RequestCache$ResourceKeysSupplier.<init>(),,,,,2624,other,189,com.atlassian.plugin.webresource.impl.RequestCache$ResourceKeysSupplier,1,44,RequestCache.java
