loss,accuracy,val_loss,val_accuracy
0.7127519249916077,0.5344444513320923,0.679688572883606,0.5799999833106995
0.6681077480316162,0.5972222089767456,0.6577017307281494,0.5899999737739563
0.6534965634346008,0.6044444441795349,0.6506164073944092,0.6200000047683716
0.6146605014801025,0.6683333516120911,0.6296806931495667,0.6700000166893005
0.5913057327270508,0.6800000071525574,0.6425880193710327,0.6600000262260437
0.5730781555175781,0.7088888883590698,0.6126444935798645,0.6899999976158142
0.5639781951904297,0.7161111235618591,0.6115869283676147,0.6600000262260437
0.5558364987373352,0.7183333039283752,0.611280083656311,0.7049999833106995
0.5272393226623535,0.7511110901832581,0.5998803973197937,0.6949999928474426
0.5045409202575684,0.7672222256660461,0.6102573275566101,0.6800000071525574
0.5028864145278931,0.7588889002799988,0.5849047303199768,0.6850000023841858
0.4617038071155548,0.804444432258606,0.5963253378868103,0.699999988079071
0.43854138255119324,0.8061110973358154,0.5817787051200867,0.7099999785423279
0.4152178168296814,0.8155555725097656,0.6044777035713196,0.7049999833106995
0.40891432762145996,0.8255555629730225,0.5716949701309204,0.699999988079071
0.40374723076820374,0.8261111378669739,0.6038262844085693,0.6850000023841858
0.3721029460430145,0.8550000190734863,0.5855445861816406,0.7250000238418579
0.3571677505970001,0.8594444394111633,0.5467826724052429,0.7549999952316284
0.36253252625465393,0.846666693687439,0.5604956746101379,0.7200000286102295
0.3153640031814575,0.894444465637207,0.537500262260437,0.7649999856948853
0.29198578000068665,0.903333306312561,0.5659071207046509,0.7400000095367432
0.27349433302879333,0.9066666960716248,0.5587950944900513,0.7649999856948853
0.25925227999687195,0.9055555462837219,0.525460422039032,0.7749999761581421
0.23667094111442566,0.9222221970558167,0.5344993472099304,0.7749999761581421
0.2213941067457199,0.9255555272102356,0.6064532995223999,0.75
0.21836166083812714,0.9272222518920898,0.5389354228973389,0.7799999713897705
0.21606868505477905,0.9277777671813965,0.5572761297225952,0.7799999713897705
0.19289660453796387,0.9444444179534912,0.5523194670677185,0.7900000214576721
0.17317436635494232,0.9516666531562805,0.5395382642745972,0.7850000262260437
0.16620606184005737,0.9494444727897644,0.5844123363494873,0.7900000214576721
0.1787816435098648,0.9377777576446533,0.6635915637016296,0.8050000071525574
0.1964114010334015,0.9405555725097656,0.5869182348251343,0.7599999904632568
0.15747927129268646,0.9527778029441833,0.5578777194023132,0.7850000262260437
